Date,Estimated earnings (EUR),Page views,Page RPM (EUR),Impressions,Impression RPM (EUR),Active View Viewable,Clicks;
2024-08-24,0.02,22,0.94,3,6.92,1,3;
2024-08-26,0.02,3,6.33,2,9.50,0.5,1;
2024-08-27,0.08,84,0.89,29,2.59,0.8846,4;
2024-08-28,0.36,175,2.06,146,2.47,0.8125,0;
2024-08-29,0.34,68,5.04,60,5.71,0.7,0;
2024-08-30,0.28,82,3.42,58,4.83,0.875,4;
2024-08-31,0.04,11,3.32,9,4.06,0.6667,0;
2024-09-01,0.01,7,1.37,3,3.19,1,0;
2024-09-02,0.00,5,0.86,3,1.43,0.6667,0;
2024-09-03,0.00,2,1.69,1,3.39,1,0;
2024-09-04,0.12,35,3.31,22,5.27,1,10;
2024-09-05,0.00,1,0.00,0,,,0;
2024-09-07,0.04,3,11.97,1,35.90,1,0;
2024-09-08,0.23,21,10.83,18,12.64,0.9444,7;
2024-09-09,0.61,10,60.52,12,50.43,0.9167,2;
2024-09-10,0.36,2,179.60,4,89.80,0.75,0;
2024-09-11,0.39,5,77.14,4,96.42,1,2;
2024-09-12,1.85,35,52.93,33,56.14,0.5938,0;
2024-09-13,3.92,87,45.06,84,46.67,0.8072,6;
2024-10-14,0.08,10,8.19,3,27.31,0.6667,0;
2024-10-15,0.08,5,15.66,4,19.58,0.75,0;
2024-10-16,0.16,22,7.12,16,9.79,0.7333,0;
2024-10-17,0.01,1,6.78,1,6.78,1,0;
2024-10-18,1.05,41,25.62,36,29.18,0.8529,0;
2024-10-20,0.12,14,8.37,25,4.69,0.68,1;
2024-10-21,0.00,14,0.00,0,,,0;
2024-10-22,0.02,2,7.62,2,7.62,1,0;
2024-10-23,0.10,15,6.66,14,7.14,0.7857,0;
2024-10-24,0.89,40,22.13,31,28.55,0.7419,0;
2024-10-25,0.05,41,1.25,14,3.65,0.7273,0;
2024-10-26,0.06,7,8.01,12,4.67,0.8333,0;
2024-10-28,0.09,11,8.15,8,11.21,1,0;
2024-10-29,0.24,14,17.02,20,11.91,0.9444,0;
2024-10-31,0.10,8,12.60,5,20.16,1,0;
2024-11-01,0.07,15,4.81,14,5.16,0.3077,0;
2024-11-02,0.03,10,3.07,9,3.41,0.8889,0;
2024-11-03,0.06,13,4.74,7,8.81,1,0;
2024-11-04,0.01,4,2.54,3,3.39,1,1;
2024-11-05,0.24,34,7.04,40,5.98,0.775,0;
2024-11-06,0.01,12,0.57,3,2.27,1,0;
2024-11-07,0.04,18,2.30,14,2.96,0.7273,0;
2024-11-08,0.05,4,12.26,6,8.18,0.6667,0;
2024-11-09,0.05,18,2.80,17,2.96,0.9375,0;
2024-11-10,0.01,9,1.58,5,2.85,0.6667,0;
2024-11-11,0.05,18,2.53,17,2.67,1,0;
2024-11-12,0.11,39,2.87,38,2.94,0.8378,1;
2024-11-13,0.01,5,2.60,3,4.34,1,0;
2024-11-14,0.00,1,0.00,0,,,0;
2024-11-15,0.06,12,4.76,14,4.08,0.6667,0;
2024-11-16,0.29,14,20.65,13,22.23,0.8462,0;
2024-11-17,0.01,4,2.86,7,1.63,0.7143,0;
2024-11-18,0.02,4,4.20,7,2.40,1,0;
2024-11-19,0.20,47,4.29,34,5.93,0.8148,1;
2024-11-20,0.15,18,8.56,19,8.11,0.9474,0;
2024-11-21,0.01,3,4.54,2,6.81,1,0;
2024-11-22,0.03,13,2.23,9,3.22,0.6667,1;
2024-11-23,0.01,3,3.23,2,4.84,1,0;
;
Total ;13965.74€
